Name,OID,Description
pt3070Notif,.1.3.6.1.4.1.18086.3070.64.0,
pt3070NotifModulatorAlarm,.1.3.6.1.4.1.18086.3070.64.0.3,Modulator Alarms
pt3070NotifPrimaryAlarm,.1.3.6.1.4.1.18086.3070.64.0.5,Primary Alarms
pt3070NotifSecondaryAlarm,.1.3.6.1.4.1.18086.3070.64.0.6,Secondary Alarms
pt3070NotifSFNAlarm,.1.3.6.1.4.1.18086.3070.64.0.7,SFN Alarms
pt3070NotifRefenceClockAlarm,.1.3.6.1.4.1.18086.3070.64.0.8,Reference Alarms
pt3070NotifRFAlarm,.1.3.6.1.4.1.18086.3070.64.0.9,RF Alarms
pt3070NotifGNSSAlarm,.1.3.6.1.4.1.18086.3070.64.0.10,GNSS Alarms
pt3070NotifEDIAlarm,.1.3.6.1.4.1.18086.3070.64.0.12,EDI Alarms
pt3070NotifExternalAlarm,.1.3.6.1.4.1.18086.3070.64.0.13,External Alarms
pt3070NotifHWMonitorAlarm,.1.3.6.1.4.1.18086.3070.64.0.14,HW Monitor Alarms
pt3070NotifCommAlarm,.1.3.6.1.4.1.18086.3070.64.0.15,Communications Alarms
pt3070NotifETIAlarm,.1.3.6.1.4.1.18086.3070.64.0.16,ETI Alarms
pt3070NotifInternalAlarm,.1.3.6.1.4.1.18086.3070.64.0.18,Internal Alarms
pt3070NotifPrimarySyncLossAlarm,.1.3.6.1.4.1.18086.3070.64.0.21,Primary Sync Loss
pt3070NotifPrimarypktcrcAlarm,.1.3.6.1.4.1.18086.3070.64.0.22,Primary PKT Corr by CRC
pt3070NotifPrimaryBROOPRAlarm,.1.3.6.1.4.1.18086.3070.64.0.23,Primary Bitrate OOPR
pt3070NotifPrimaryCRCHeaderAlarm,.1.3.6.1.4.1.18086.3070.64.0.24,Primary CRC Header
pt3070NotifPrimaryCRCFrameAlarm,.1.3.6.1.4.1.18086.3070.64.0.25,Primary CRC Frame
pt3070NotifPrimaryCRCMNSCAlarm,.1.3.6.1.4.1.18086.3070.64.0.26,Primary CRC MNSC
pt3070NotifPrimaryMNSCAlarm,.1.3.6.1.4.1.18086.3070.64.0.27,Primary MNSC
pt3070NotifPrimaryTimestampAlarm,.1.3.6.1.4.1.18086.3070.64.0.28,Primary Timestamp
pt3070NotifPrimaryMNSCADDRAlarm,.1.3.6.1.4.1.18086.3070.64.0.29,Primary MNSC Address
